0,0,0,0,0,0
0,250,0,0,0,0
0,250,0,250,0,0
0,500,0,0,0,0
0,500,0,500,0,0
0,1000,0,0,0,0
0,1000,0,1000,0,0
0,1500,0,0,0,0
0,1500,0,1500,0,0
0,2000,0,0,0,0
0,2000,0,2000,0,0
0,2500,0,0,0,0
0,2500,0,2500,0,0
0,3000,0,0,0,0
0,3000,0,3000,0,0
0,3500,0,0,0,0
0,3500,0,3500,0,0
0,4000,0,0,0,0
0,4000,0,4000,0,0
0,4500,0,0,0,0
0,4500,0,4500,0,0
0,5000,0,0,0,0
0,5000,0,5000,0,0
0,0,0,0,0,0
250,0,250,0,250,0
500,0,500,0,500,0
1000,0,1000,0,1000,0
2000,0,2000,0,2000,0
3000,0,3000,0,3000,0
4000,0,4000,0,4000,0
5000,0,5000,0,5000,0
